CompanyID,CompanyName,Industry,Region,Year,Revenue,ProfitMargin,MarketCap,GrowthRate,ESG_Overall,ESG_Environmental,ESG_Social,ESG_Governance,CarbonEmissions,WaterUsage,EnergyConsumption
43,Company_43,Transportation,Europe,2015,444.20,3.90,141.20,-3.50,43.80,27.50,83.40,20.50,268455.90,44742.60,894853.00
44,Company_44,Healthcare,Oceania,2015,8643.80,26.40,36906.00,-3.50,50.90,39.10,30.90,82.70,800376.20,800376.20,1600752.50
45,Company_45,Retail,Africa,2015,587.40,5.90,551.90,-3.50,36.80,52.30,11.80,46.30,48978.10,24489.10,97956.30
46,Company_46,Healthcare,Middle East,2015,8416.90,23.60,47471.50,-3.50,48.60,73.70,50.40,21.70,575811.10,575811.10,1151622.20
47,Company_47,Consumer Goods,Africa,2015,209.60,6.10,317.40,-3.50,53.70,64.80,70.50,25.80,31287.30,39109.10,156436.30
48,Company_48,Technology,Latin America,2015,1829.70,20.60,11120.40,-3.50,50.60,90.40,44.00,17.50,51861.80,31117.10,103723.60
49,Company_49,Retail,Middle East,2015,535.90,4.80,500.10,-3.50,15.80,5.90,29.10,12.50,62100.10,31050.10,124200.20
50,Company_50,Consumer Goods,North America,2015,769.80,15.40,2774.20,-3.50,61.20,67.70,47.40,68.50,111746.80,139683.50,558734.10
51,Company_51,Transportation,Middle East,2015,119.00,9.70,214.50,-3.50,48.40,76.60,66.10,2.50,47389.80,7898.30,157966.10
52,Company_52,Consumer Goods,Oceania,2015,1362.20,15.20,2314.30,-3.50,64.60,42.90,81.30,69.70,245165.10,306456.40,1225825.60
53,Company_53,Utilities,North America,2015,831.20,10.00,735.20,-3.50,70.40,30.30,93.60,87.20,656789.30,410493.30,6567893.00
54,Company_54,Healthcare,Oceania,2015,4068.00,18.80,18841.70,-3.50,59.70,17.30,85.40,76.50,439006.80,439006.80,878013.60
55,Company_55,Finance,Latin America,2015,713.60,12.10,1217.90,-3.50,72.00,99.90,70.20,46.00,7148.40,3574.20,17871.00
56,Company_56,Utilities,North America,2015,702.20,10.20,1034.90,-3.50,57.30,24.80,60.80,86.30,576680.50,360425.30,5766804.70
57,Company_57,Utilities,Middle East,2015,828.60,4.50,521.10,-3.50,28.70,28.50,19.80,37.70,663293.70,414558.60,6632937.00
58,Company_58,Transportation,Oceania,2015,362.50,4.70,240.70,-3.50,37.80,14.10,64.10,35.10,239487.10,39914.50,798290.50
59,Company_59,Utilities,Africa,2015,643.40,12.20,665.10,-3.50,29.70,28.70,38.80,21.50,514184.00,321365.00,5141839.90
60,Company_60,Manufacturing,Middle East,2015,915.80,8.70,1574.00,-3.50,31.10,44.00,42.40,6.80,245007.70,326676.90,4083461.60
61,Company_61,Consumer Goods,Oceania,2015,1921.20,11.30,4407.90,-3.50,76.00,81.20,53.10,93.60,242777.80,303472.30,1213889.10
62,Company_62,Technology,Asia,2015,2955.80,17.60,17077.60,-3.50,62.30,92.30,28.30,66.20,81855.80,49113.50,163711.60
63,Company_63,Consumer Goods,Europe,2015,854.00,15.80,1637.20,-3.50,65.60,39.90,69.70,87.00,157203.40,196504.30,786017.20
64,Company_64,Consumer Goods,Asia,2015,1334.60,10.00,2949.30,-3.50,35.50,41.00,36.50,29.10,243651.20,304563.90,1218255.80
65,Company_65,Transportation,Europe,2015,817.40,4.40,695.80,-3.50,61.80,25.80,91.40,68.30,500066.90,83344.50,1666889.80
66,Company_66,Consumer Goods,Middle East,2015,1300.10,16.30,3140.10,-3.50,60.50,98.00,55.40,28.10,133722.00,167152.50,668610.00
67,Company_67,Manufacturing,Middle East,2015,639.30,12.00,1614.50,-3.50,50.20,40.60,44.00,66.00,175692.80,234257.10,2928214.10
68,Company_68,Manufacturing,Middle East,2015,3341.80,9.40,5715.50,-3.50,52.70,39.00,77.90,41.10,929427.10,1239236.20,15490452.40
69,Company_69,Energy,North America,2015,5387.60,31.00,13845.70,-3.50,44.50,6.10,63.40,64.00,6236720.60,1871016.20,62367205.80
70,Company_70,Retail,Africa,2015,905.60,3.20,488.20,-3.50,40.20,43.00,30.90,46.50,81390.00,40695.00,162780.00
71,Company_71,Consumer Goods,Latin America,2015,1913.80,9.20,3097.40,-3.50,41.70,56.00,23.90,45.20,309218.20,386522.70,1546090.90
72,Company_72,Utilities,Latin America,2015,695.70,8.10,477.50,-3.50,42.00,37.80,37.50,50.50,520413.50,325258.40,5204135.00
73,Company_73,Transportation,Asia,2015,957.10,11.00,2098.30,-3.50,51.50,18.10,74.20,62.20,616225.60,102704.30,2054085.40
74,Company_74,Energy,Europe,2015,1299.10,-9.80,4682.10,-3.50,62.90,8.50,89.30,90.70,1481206.70,444362.00,14812067.20
75,Company_75,Technology,North America,2015,2564.90,23.80,20223.70,-3.50,70.50,77.50,43.40,90.60,84310.40,50586.30,168620.90
76,Company_76,Technology,North America,2015,9269.00,26.30,51290.00,-3.50,65.80,91.20,43.00,63.30,260309.10,156185.40,520618.10
77,Company_77,Utilities,Africa,2015,401.50,11.00,509.50,-3.50,63.50,72.90,55.60,61.90,221464.90,138415.50,2214648.80
78,Company_78,Technology,Latin America,2015,7845.40,18.70,31400.60,-3.50,44.10,67.00,42.20,23.20,286647.10,171988.20,573294.10
79,Company_79,Healthcare,North America,2015,6798.80,20.20,29760.30,-3.50,61.10,72.10,36.10,75.00,472682.00,472682.00,945364.00
80,Company_80,Utilities,Europe,2015,1629.60,9.50,1488.80,-3.50,66.30,37.70,88.90,72.50,1220800.00,763000.00,12208000.30
81,Company_81,Healthcare,Europe,2015,5337.60,7.10,7114.30,-3.50,74.30,73.70,77.40,71.70,365061.30,365061.30,730122.70
82,Company_82,Technology,Middle East,2015,2889.40,19.70,18346.20,-3.50,63.80,96.40,68.00,27.00,75867.90,45520.80,151735.90
83,Company_83,Healthcare,Oceania,2015,2584.00,8.50,3676.80,-3.50,58.70,53.60,69.60,52.90,213103.20,213103.20,426206.40
84,Company_84,Consumer Goods,Middle East,2015,1992.80,11.80,3256.20,-3.50,14.10,27.70,4.50,10.10,401031.00,501288.70,2005155.00
85,Company_85,Manufacturing,Asia,2015,1474.60,4.80,573.70,-3.50,53.90,51.80,36.50,73.40,370358.70,493811.60,6172645.20
86,Company_86,Finance,Asia,2015,2457.60,9.20,4290.30,-3.50,46.40,99.80,23.60,15.90,24641.00,12320.50,61602.40
87,Company_87,Technology,Oceania,2015,40779.10,13.10,184035.70,-3.50,78.00,96.40,77.40,60.10,1070742.40,642445.50,2141484.90
88,Company_88,Manufacturing,North America,2015,852.20,9.80,939.50,-3.50,74.50,69.90,72.00,81.50,181620.60,242160.80,3027009.70
89,Company_89,Utilities,Europe,2015,1212.20,14.30,1500.40,-3.50,29.30,28.30,44.80,14.80,971444.20,607152.60,9714442.10
90,Company_90,Energy,Africa,2015,6916.80,-3.40,28583.50,-3.50,22.40,8.60,26.90,31.50,7882643.00,2364792.90,78826430.30
91,Company_91,Manufacturing,Europe,2015,4079.50,13.40,10403.90,-3.50,62.70,46.20,52.90,89.00,1072422.20,1429896.30,17873704.00
92,Company_92,Healthcare,Asia,2015,3287.70,17.20,10762.00,-3.50,32.10,54.50,20.00,21.90,269160.60,269160.60,538321.10
93,Company_93,Retail,Latin America,2015,835.30,7.80,1321.50,-3.50,52.50,86.00,41.80,29.60,49956.10,24978.10,99912.20
94,Company_94,Utilities,North America,2015,352.10,12.70,621.30,-3.50,56.60,39.40,59.50,70.80,260376.20,162735.20,2603762.50
95,Company_95,Retail,North America,2015,877.30,10.90,1130.90,-3.50,68.90,59.30,49.20,98.00,68843.50,34421.80,137687.00
96,Company_96,Manufacturing,Middle East,2015,1077.20,-0.10,4533.20,-3.50,72.00,80.40,47.00,88.70,205825.40,274433.90,3430424.10
97,Company_97,Consumer Goods,Middle East,2015,858.80,9.80,1346.10,-3.50,35.30,57.70,27.40,20.90,136792.40,170990.50,683961.80
98,Company_98,Energy,North America,2015,8542.90,18.10,22073.80,-3.50,39.70,11.30,45.90,61.80,9573947.40,2872184.20,95739474.10
99,Company_99,Healthcare,Asia,2015,4125.20,13.90,9017.50,-3.50,58.80,32.30,76.90,67.20,401621.50,401621.50,803242.90
100,Company_100,Manufacturing,North America,2015,927.20,0.50,54.80,-3.50,53.20,17.60,85.20,56.80,299499.00,399332.00,4991649.50
101,Company_101,Energy,Oceania,2015,6685.40,-7.70,12395.70,-3.50,58.60,36.00,90.60,49.00,6336694.50,1901008.30,63366944.50
102,Company_102,Retail,Africa,2015,881.80,5.30,976.30,-3.50,51.20,24.80,75.40,53.60,90521.30,45260.70,181042.60
103,Company_103,Retail,Africa,2015,1030.90,7.70,1725.40,-3.50,51.20,78.00,39.60,35.90,67403.70,33701.90,134807.40
104,Company_104,Technology,Europe,2015,2890.80,17.20,14031.20,-3.50,67.30,67.90,56.60,77.50,104732.00,62839.20,209463.90
105,Company_105,Finance,Africa,2015,17580.70,8.80,19702.20,-3.50,42.90,75.90,32.20,20.70,235125.60,117562.80,587814.00
106,Company_106,Manufacturing,Europe,2015,1654.50,7.90,1803.60,-3.50,66.10,7.40,93.80,97.10,570002.80,760003.70,9500045.90
107,Company_107,Finance,Asia,2015,9026.60,16.00,27717.60,-3.50,60.40,97.40,54.20,29.80,93575.50,46787.80,233938.80
108,Company_108,Healthcare,North America,2015,8020.80,16.40,15557.60,-3.50,66.70,67.10,57.00,76.20,585733.90,585733.90,1171467.80
109,Company_109,Energy,Africa,2015,10238.80,11.40,16081.50,-3.50,47.10,40.90,46.40,54.00,9355126.40,2806537.90,93551264.00
110,Company_110,Healthcare,Middle East,2015,1921.70,19.90,5391.20,-3.50,27.00,56.30,9.10,15.60,154892.30,154892.30,309784.70
111,Company_111,Finance,Africa,2015,587.50,11.00,1180.90,-3.50,38.50,88.60,13.60,13.40,6809.50,3404.80,17023.80
112,Company_112,Retail,Europe,2015,356.70,2.30,192.80,-3.50,48.00,20.20,28.20,95.60,37775.00,18887.50,75550.00
113,Company_113,Manufacturing,Latin America,2015,2459.70,-1.70,9688.90,-3.50,20.30,11.60,37.30,12.00,825328.20,1100437.60,13755469.50
114,Company_114,Energy,North America,2015,3326.80,7.90,3247.50,-3.50,69.40,66.40,66.70,75.20,2446809.50,734042.80,24468094.60
115,Company_115,Consumer Goods,Europe,2015,398.90,12.10,860.10,-3.50,62.30,43.70,66.00,77.00,71344.70,89180.90,356723.70
116,Company_116,Retail,Asia,2015,489.00,6.20,632.30,-3.50,37.50,45.80,24.50,42.40,42995.30,21497.70,85990.70
117,Company_117,Retail,Asia,2015,1151.70,9.00,1493.50,-3.50,65.00,34.80,83.40,76.80,110121.00,55060.50,220242.10
118,Company_118,Retail,Asia,2015,870.90,4.10,820.50,-3.50,65.70,84.60,53.30,59.20,52909.80,26454.90,105819.70
119,Company_119,Consumer Goods,Middle East,2015,1239.60,12.50,3325.00,-3.50,30.40,52.30,31.10,7.60,206749.40,258436.80,1033747.20
120,Company_120,Consumer Goods,Asia,2015,1444.80,7.40,1524.40,-3.50,53.10,45.20,28.50,85.60,255309.40,319136.80,1276547.20
121,Company_121,Retail,Oceania,2015,724.80,3.70,384.40,-3.50,48.20,28.20,78.40,38.00,72640.00,36320.00,145280.00
122,Company_122,Energy,Europe,2015,2866.60,-3.40,11179.10,-3.50,58.10,43.60,71.00,59.70,2565066.00,769519.80,25650659.70
123,Company_123,Technology,Middle East,2015,15817.30,22.00,66987.00,-3.50,55.30,97.50,16.90,51.50,409269.70,245561.80,818539.50
124,Company_124,Manufacturing,Africa,2015,980.50,4.90,390.60,-3.50,32.40,48.60,34.70,13.80,253004.40,337339.30,4216740.80
125,Company_125,Finance,Middle East,2015,3747.80,18.50,13486.70,-3.50,39.00,93.40,20.30,3.30,40956.80,20478.40,102392.10
126,Company_126,Manufacturing,Oceania,2015,1608.30,3.00,953.00,-3.50,42.30,16.70,65.70,44.50,522637.30,696849.70,8710621.70
127,Company_127,Consumer Goods,Asia,2015,2028.20,12.40,5855.00,-3.50,57.90,63.20,42.40,67.90,307219.70,384024.60,1536098.40
128,Company_128,Utilities,Africa,2015,424.40,7.30,368.00,-3.50,29.90,46.10,30.70,13.00,297762.50,186101.60,2977625.10
129,Company_129,Healthcare,Africa,2015,1436.00,13.90,4955.60,-3.50,44.40,58.20,17.00,58.10,113784.60,113784.60,227569.30
130,Company_130,Manufacturing,Asia,2015,2174.80,14.10,2890.70,-3.50,27.80,6.10,30.20,47.00,754971.40,1006628.60,12582857.20
131,Company_131,Finance,Latin America,2015,23779.20,19.50,80256.60,-3.50,69.40,86.30,88.10,33.70,283407.10,141703.50,708517.70
132,Company_132,Consumer Goods,Oceania,2015,973.00,6.10,1457.00,-3.50,60.80,73.70,66.80,42.10,133171.90,166464.90,665859.70
133,Company_133,Consumer Goods,Europe,2015,565.00,6.40,432.10,-3.50,64.60,27.10,79.70,87.00,114135.00,142668.70,570674.90
134,Company_134,Healthcare,Asia,2015,3692.00,13.90,9656.70,-3.50,62.40,70.40,56.60,60.10,260986.80,260986.80,521973.60
135,Company_135,Transportation,Asia,2015,1468.60,6.10,1657.90,-3.50,45.70,16.80,61.80,58.30,953641.80,158940.30,3178806.00
136,Company_136,Manufacturing,Latin America,2015,451.60,11.00,822.00,-3.50,47.90,53.50,40.90,49.40,111862.50,149150.00,1864374.80
137,Company_137,Manufacturing,Oceania,2015,1443.10,6.90,1771.90,-3.50,39.70,12.70,26.70,79.80,481082.80,641443.70,8018046.70
138,Company_138,Energy,Latin America,2015,14820.40,-4.80,27157.20,-3.50,45.10,39.90,62.40,32.90,13643565.90,4093069.80,136435658.90
139,Company_139,Retail,Europe,2015,1285.20,3.20,760.50,-3.50,60.70,65.80,48.50,67.80,95010.70,47505.40,190021.40
140,Company_140,Manufacturing,Europe,2015,709.20,10.10,1502.60,-3.50,34.00,5.40,33.80,62.90,247267.50,329690.00,4121124.70
141,Company_141,Energy,Africa,2015,3521.10,-2.40,7657.80,-3.50,13.50,35.10,3.10,2.30,3360589.90,1008177.00,33605899.10
142,Company_142,Finance,North America,2015,1539.00,9.20,2370.10,-3.50,63.10,97.40,41.00,50.80,15953.00,7976.50,39882.60
143,Company_143,Consumer Goods,Oceania,2015,1662.00,14.50,2547.60,-3.50,63.20,83.40,50.60,55.60,204736.90,255921.20,1023684.70
144,Company_144,Utilities,Oceania,2015,2004.60,7.20,1438.40,-3.50,49.80,12.30,88.90,48.30,1786558.10,1116598.80,17865581.10
145,Company_145,Energy,Middle East,2015,2826.80,10.40,2800.70,-3.50,28.10,3.20,58.50,22.70,3328893.90,998668.20,33288939.20
146,Company_146,Consumer Goods,Africa,2015,918.10,10.20,2249.60,-3.50,48.10,37.80,32.30,74.20,171754.80,214693.50,858774.00
147,Company_147,Energy,Latin America,2015,11194.10,-16.50,16637.00,-3.50,47.30,44.50,67.90,29.30,9947693.50,2984308.00,99476934.90
148,Company_148,Healthcare,Middle East,2015,7073.80,8.60,14701.20,-3.50,38.80,39.70,66.90,9.90,652342.90,652342.90,1304685.80
149,Company_149,Technology,Africa,2015,5554.80,13.40,11890.00,-3.50,52.20,85.50,40.90,30.30,166986.10,100191.60,333972.10
150,Company_150,Manufacturing,North America,2015,1784.90,3.80,1440.00,-3.50,62.20,33.80,94.20,58.60,515945.90,687927.80,8599097.70
151,Company_151,Healthcare,Latin America,2015,3094.00,6.20,2622.20,-3.50,37.10,47.40,55.00,8.90,268583.80,268583.80,537167.70
152,Company_152,Technology,Latin America,2015,26753.80,23.40,195544.20,-3.50,60.60,88.90,66.40,26.60,773128.60,463877.20,1546257.20
153,Company_153,Consumer Goods,Oceania,2015,759.30,11.50,940.10,-3.50,58.20,41.70,67.20,65.70,137860.90,172326.20,689304.70
154,Company_154,Manufacturing,Asia,2015,4680.50,18.00,7899.20,-3.50,46.70,36.00,45.40,58.70,1331137.80,1774850.40,22185629.40
155,Company_155,Finance,Latin America,2015,2946.80,9.80,3960.90,-3.50,64.50,61.70,91.70,40.20,45271.10,22635.60,113177.80
156,Company_156,Technology,Asia,2015,7293.10,6.40,8747.80,-3.50,62.50,99.80,68.50,19.10,182918.10,109750.80,365836.20
157,Company_157,Consumer Goods,Europe,2015,4393.20,16.40,11204.40,-3.50,86.60,85.00,88.50,86.40,531744.00,664680.00,2658720.20
158,Company_158,Energy,Oceania,2015,4773.20,-3.50,7226.60,-3.50,50.70,22.40,90.00,39.80,4978778.80,1493633.60,49787787.70
159,Company_159,Consumer Goods,North America,2015,1166.40,8.00,1743.70,-3.50,68.10,44.10,65.10,95.00,207868.00,259835.00,1039339.90
160,Company_160,Utilities,Latin America,2015,999.70,10.10,955.30,-3.50,43.50,37.50,23.10,69.80,749488.30,468430.20,7494883.40
161,Company_161,Technology,Europe,2015,3950.30,8.60,7664.00,-3.50,75.50,97.60,71.20,57.60,102071.20,61242.70,204142.40
162,Company_162,Technology,North America,2015,27289.20,12.60,74405.70,-3.50,68.50,86.80,27.70,90.90,807846.10,484707.70,1615692.20
163,Company_163,Energy,Asia,2015,2099.70,-4.10,8210.40,-3.50,46.70,23.30,36.30,80.40,2177717.20,653315.20,21777172.50
164,Company_164,Retail,Oceania,2015,354.10,6.00,414.10,-3.50,64.90,55.30,87.80,51.60,28770.50,14385.20,57541.00
165,Company_165,Manufacturing,Latin America,2015,1599.50,9.20,3147.10,-3.50,29.60,13.20,57.50,18.00,531518.00,708690.70,8858633.70
166,Company_166,Energy,Latin America,2015,1276.00,24.70,6099.30,-3.50,44.00,35.20,77.20,19.50,1216765.60,365029.70,12167656.00
167,Company_167,Energy,North America,2015,3888.70,9.70,3881.10,-3.50,38.40,7.60,62.50,45.00,4459886.80,1337966.00,44598867.80
168,Company_168,Healthcare,North America,2015,2170.10,20.10,9993.20,-3.50,74.70,84.50,47.50,92.10,132045.70,132045.70,264091.40
169,Company_169,Consumer Goods,Latin America,2015,629.20,6.60,829.90,-3.50,51.30,54.40,78.30,21.10,103106.60,128883.30,515533.10
170,Company_170,Energy,Europe,2015,1033.70,16.70,1888.90,-3.50,45.90,20.50,28.70,88.50,1092307.50,327692.30,10923075.40
171,Company_171,Utilities,Oceania,2015,531.00,9.60,427.40,-3.50,46.10,16.00,60.20,62.10,462171.70,288857.30,4621717.40
172,Company_172,Energy,Asia,2015,5946.30,19.60,9956.80,-3.50,41.40,20.40,71.70,32.00,6286706.70,1886012.00,62867067.40
173,Company_173,Transportation,Europe,2015,662.70,2.10,262.70,-3.50,54.00,28.20,52.30,81.60,398740.90,66456.80,1329136.30
174,Company_174,Transportation,Africa,2015,393.10,2.00,139.90,-3.50,14.80,13.80,27.50,3.30,260330.00,43388.30,867766.60
175,Company_175,Finance,Latin America,2015,3129.50,15.40,5847.70,-3.50,56.40,98.30,24.00,47.00,32038.40,16019.20,80096.00
176,Company_176,Healthcare,Oceania,2015,1888.50,12.10,2563.00,-3.50,78.80,74.20,81.90,80.20,128508.60,128508.60,257017.10
177,Company_177,Manufacturing,North America,2015,1564.10,12.50,3220.70,-3.50,44.10,26.90,63.00,42.40,474878.10,633170.80,7914634.50
178,Company_178,Transportation,Latin America,2015,1715.00,10.20,1460.80,-3.50,23.20,22.80,10.90,36.00,1070364.10,178394.00,3567880.30
179,Company_179,Finance,Europe,2015,1748.00,14.10,1980.60,-3.50,84.30,83.30,90.10,79.60,21575.70,10787.90,53939.30
180,Company_180,Utilities,Latin America,2015,1091.60,16.60,1485.70,-3.50,50.70,51.20,65.20,35.80,735099.80,459437.40,7350998.40
181,Company_181,Finance,Oceania,2015,1601.00,17.40,4314.60,-3.50,66.40,73.70,77.90,47.70,21901.70,10950.90,54754.40
182,Company_182,Manufacturing,North America,2015,3212.60,7.40,4775.40,-3.50,63.00,30.80,76.00,82.30,948470.50,1264627.30,15807841.30
183,Company_183,Retail,Europe,2015,999.10,11.70,2270.70,-3.50,53.10,55.70,67.30,36.40,80960.30,40480.20,161920.60
184,Company_184,Utilities,Europe,2015,859.40,9.30,797.60,-3.50,63.00,27.30,70.10,91.60,693452.30,433407.70,6934522.70
185,Company_185,Transportation,Latin America,2015,423.60,0.60,34.60,-3.50,12.00,0.50,19.10,16.30,304132.40,50688.70,1013774.70
186,Company_186,Manufacturing,Middle East,2015,3198.60,12.10,4295.30,-3.50,26.70,4.80,64.60,10.70,1119309.80,1492413.10,18655164.00
187,Company_187,Utilities,Africa,2015,1608.10,12.70,2638.50,-3.50,33.60,48.60,49.80,2.40,1105683.60,691052.30,11056836.30
188,Company_188,Consumer Goods,Oceania,2015,1871.40,11.10,4887.70,-3.50,48.90,62.20,55.90,28.50,286109.30,357636.60,1430546.40
189,Company_189,Healthcare,Asia,2015,1831.40,17.20,7828.70,-3.50,47.80,60.50,35.20,47.80,142206.10,142206.10,284412.20
190,Company_190,Technology,North America,2015,2760.20,18.10,11201.00,-3.50,69.80,80.50,62.60,66.10,87855.80,52713.50,175711.60
191,Company_191,Manufacturing,Oceania,2015,465.10,9.40,478.30,-3.50,36.80,2.80,78.40,29.30,164660.10,219546.70,2744334.20
192,Company_192,Consumer Goods,Asia,2015,238.00,12.50,505.40,-3.50,80.90,61.70,90.10,91.00,36551.50,45689.30,182757.30
193,Company_193,Manufacturing,Asia,2015,1453.20,4.40,750.70,-3.50,37.30,45.50,45.50,20.80,384279.70,512372.90,6404661.50
194,Company_194,Manufacturing,Oceania,2015,1247.10,9.10,2214.50,-3.50,82.50,73.70,80.30,93.50,255815.70,341087.60,4263594.90
195,Company_195,Transportation,Middle East,2015,1053.90,13.70,2510.20,-3.50,22.80,17.30,10.50,40.50,682072.60,113678.80,2273575.30
196,Company_196,Healthcare,Oceania,2015,4947.20,7.80,4113.40,-3.50,51.10,73.30,49.20,30.80,339940.40,339940.40,679880.80
